iter	Passed	Remaining
419	3018	574
420	3021	567
421	3025	559
422	3029	551
423	3034	543
424	3038	536
425	3043	528
426	3048	521
427	3053	513
428	3058	506
429	3064	498
430	3077	492
431	3082	485
432	3096	479
433	3100	471
434	3109	464
435	3113	457
436	3117	449
437	3120	441
438	3125	434
439	3130	426
440	3135	419
441	3139	411
442	3145	404
443	3149	397
444	3154	389
445	3158	382
446	3163	375
447	3168	367
448	3173	360
449	3179	353
450	3184	345
451	3188	338
452	3193	331
453	3198	324
454	3202	316
455	3207	309
456	3212	302
457	3216	294
458	3222	287
459	3227	280
460	3231	273
461	3234	266
462	3237	258
463	3241	251
464	3244	244
465	3248	237
466	3252	229
467	3255	222
468	3259	215
469	3262	208
470	3266	201
471	3270	193
472	3273	186
473	3277	179
474	3280	172
475	3284	165
476	3287	158
477	3291	151
478	3294	144
479	3298	137
480	3301	130
481	3305	123
482	3308	116
483	3312	109
484	3316	102
485	3319	95
486	3323	88
487	3326	81
488	3330	74
489	3333	68
490	3337	61
491	3341	54
492	3344	47
493	3348	40
494	3351	33
495	3355	27
496	3358	20
497	3361	13
498	3365	6
499	3369	0
