iter	Logloss
382	0.1962849916
383	0.1962527684
384	0.1962038327
385	0.19614703
386	0.1960832362
387	0.1960508688
388	0.1959797691
389	0.1959502389
390	0.1959097563
391	0.1958645336
392	0.195821313
393	0.1957705768
394	0.1957324463
395	0.1956856028
396	0.1956527014
397	0.1956193848
398	0.1955512297
399	0.1955095295
400	0.1954531748
401	0.1953786358
402	0.1952966611
403	0.1952704547
404	0.1952189424
405	0.1951852907
406	0.1951584839
407	0.1951339285
408	0.1950819848
409	0.195040478
410	0.1949833992
411	0.1949414382
412	0.1949067644
413	0.194864674
414	0.1948080521
415	0.1947652581
416	0.1947158576
417	0.1946795469
418	0.1946308667
419	0.1945645398
420	0.1945355398
421	0.1944689141
422	0.1944260749
423	0.1943724085
424	0.1943218293
425	0.194297113
426	0.194243747
427	0.1942162614
428	0.1941713113
429	0.1941481791
430	0.1941051751
431	0.1940692725
432	0.1940240916
433	0.1939948098
434	0.1939661406
435	0.1939269103
436	0.1938824093
437	0.19381663
438	0.1937890401
439	0.1937649206
440	0.1937359649
441	0.193691424
442	0.1936058979
443	0.1935640134
444	0.1935311996
445	0.1934950395
446	0.1934475622
447	0.1934167967
448	0.1933752732
449	0.1933299424
450	0.1933008885
451	0.1932644725
452	0.1932201907
453	0.1931898051
454	0.1931659239
455	0.1931418523
456	0.1931012347
457	0.1930555624
458	0.1930169566
459	0.1929773221
460	0.1929372325
461	0.1928927289
462	0.1928632802
463	0.1928261327
464	0.1927984939
465	0.1927753403
466	0.1927454039
467	0.1927238593
468	0.1927037311
469	0.1926488226
470	0.1926271177
471	0.1925832214
472	0.1925116811
473	0.1924908228
474	0.1924590124
475	0.1924046004
476	0.1923584952
477	0.192321225
478	0.1922906075
479	0.192239903
480	0.1922070255
481	0.1921830952
482	0.1921322641
483	0.1920755081
484	0.1920276956
485	0.1919784695
486	0.191946418
487	0.1919064812
488	0.1918672759
489	0.1918219261
490	0.191810817
491	0.1917821946
492	0.1917392967
493	0.1917055423
494	0.191654421
495	0.1915912894
496	0.191559518
497	0.1915138042
498	0.1914754509
499	0.1914219268
