iter	Logloss
0	0.6796209708
1	0.6671511885
2	0.6526015261
3	0.639877765
4	0.6294910243
5	0.6181549165
6	0.6076523792
7	0.5963552512
8	0.5852124943
9	0.5741132024
10	0.5648186436
11	0.5550227819
12	0.5462459064
13	0.5381489739
14	0.5286889138
15	0.5184385962
16	0.5086727858
17	0.5005696534
18	0.4923491064
19	0.4855267723
20	0.4792078792
21	0.4716946551
22	0.4631113906
23	0.4570701591
24	0.4504837662
25	0.4428165143
26	0.436715492
27	0.4304124776
28	0.4247312606
29	0.4195615467
30	0.4150714882
31	0.4094508011
32	0.4035945379
33	0.3994552652
34	0.3951235254
35	0.3911116075
36	0.3868762858
37	0.3824989722
38	0.3774205383
39	0.372775919
40	0.3682797253
41	0.3646059612
42	0.3603678625
43	0.3569030135
44	0.353292561
45	0.3494019636
46	0.3461632882
47	0.3436844666
48	0.3403018367
49	0.3376266216
50	0.3343909279
51	0.3307320909
52	0.327431961
53	0.3240039044
54	0.3209850205
55	0.3178733631
56	0.31547372
57	0.3131268086
58	0.3103827488
59	0.3071826409
60	0.3051572396
61	0.3028192729
62	0.3010796397
63	0.2993902209
64	0.2970332071
65	0.2952335494
66	0.2933148811
67	0.291791658
68	0.2898941964
69	0.2885564903
70	0.2862145593
71	0.2845157391
72	0.2826475846
73	0.2810117489
74	0.279609045
75	0.277890243
76	0.2762284015
77	0.2746970925
78	0.2734485795
79	0.272154332
80	0.2707936616
81	0.2696130592
82	0.2681969789
83	0.2666420994
84	0.2655419079
85	0.2643371133
86	0.2629159154
87	0.2617208164
88	0.2605636976
89	0.2594665964
90	0.2586228433
91	0.2576562172
92	0.2567381512
93	0.2556578261
94	0.254210132
95	0.2531558201
96	0.2524757585
97	0.251425735
98	0.250631892
99	0.2499759147
100	0.2492925468
101	0.2481008199
102	0.2470989748
103	0.2460330466
104	0.2453789692
105	0.2443811043
106	0.2437584754
107	0.2430953268
108	0.2423449394
109	0.2415737153
110	0.2409862199
111	0.240396853
112	0.2399270244
113	0.239364926
114	0.2388508504
115	0.2383923952
116	0.2379676776
117	0.2373595861
118	0.2368043215
119	0.2359159461
120	0.2351535036
121	0.2347770286
122	0.2343605388
123	0.233908131
124	0.2334593881
125	0.2331553861
126	0.2325781832
127	0.2321335483
128	0.2314315659
129	0.2310268086
130	0.2306937109
131	0.2302729022
132	0.2298480222
133	0.2294527179
134	0.2290661785
135	0.2287148333
136	0.2283693999
137	0.2279030287
138	0.2274432467
139	0.2269499339
140	0.2262919428
141	0.2258476953
142	0.2251606953
143	0.2249011162
144	0.2244546041
145	0.2242186822
146	0.2239815889
147	0.2237134746
148	0.2232723686
149	0.2228159618
150	0.2226104054
151	0.2221820004
152	0.2218108968
153	0.2214761822
154	0.2212071779
155	0.2209553989
156	0.220646753
157	0.2204272336
158	0.2201166305
159	0.2199099902
160	0.2195206837
161	0.2191973439
162	0.2188518148
163	0.2185130614
164	0.2183186122
165	0.2181489004
166	0.2179700414
167	0.2178613201
168	0.2176589764
169	0.2173436482
170	0.2170993899
171	0.2168806267
172	0.2165753699
173	0.2163734412
174	0.2161462367
175	0.2158268832
176	0.2156083231
177	0.2153802205
178	0.2151639466
179	0.2149864669
180	0.2148170973
181	0.2146408455
182	0.2144975506
183	0.2143816524
184	0.2142079289
185	0.2141132386
186	0.2139977844
187	0.2137188979
188	0.2136036844
189	0.2133804193
190	0.2132258935
191	0.2130749705
192	0.2129081208
193	0.2127548584
194	0.2126239062
195	0.2123465605
196	0.2122361832
197	0.2121069268
198	0.2119752901
199	0.2117509076
200	0.2114986557
201	0.2113793404
202	0.2112109159
203	0.211083514
204	0.21093955
205	0.2107898678
206	0.2105224146
207	0.2103631319
208	0.2101670558
209	0.210056375
210	0.2099072651
211	0.2098062045
212	0.2096120249
213	0.2094824594
214	0.2093830746
215	0.2092432178
216	0.2090118856
217	0.2088076953
218	0.2086511145
219	0.2085330888
220	0.2084563494
221	0.2083382093
222	0.2082493132
223	0.2080859116
224	0.2079743522
225	0.2077956755
226	0.2077047303
227	0.207596964
228	0.2074685537
229	0.2073650545
230	0.2072219126
231	0.2071621962
232	0.2070374194
233	0.2069261573
234	0.206795286
235	0.2067379524
236	0.2066115804
237	0.206485064
238	0.2063244526
239	0.2062064209
240	0.2061087393
241	0.2059460714
242	0.2058164284
243	0.2057420231
244	0.2056596863
245	0.2055469999
246	0.2054573474
247	0.2053156622
248	0.2052255522
249	0.2051561753
250	0.2050058506
251	0.2049324851
252	0.204832551
253	0.2047873725
254	0.2047369651
255	0.2046538083
256	0.2045806636
257	0.2044313971
258	0.2043273107
259	0.2042052242
260	0.204135387
261	0.2040546687
262	0.2039892087
263	0.2038550273
264	0.2037713977
265	0.2036804832
266	0.2035785012
267	0.2035019823
268	0.2034281242
269	0.2033716909
270	0.2032752483
271	0.2032136876
272	0.2031106472
273	0.2030416802
274	0.202932847
275	0.2028642083
276	0.2027505048
277	0.2026344215
278	0.2025773197
279	0.2024962722
280	0.2024205582
281	0.2023477181
282	0.2022876338
283	0.2021676593
284	0.2021329428
285	0.2020766616
286	0.2019929853
287	0.2019417236
288	0.201889125
289	0.2018223118
290	0.2017535127
291	0.2016853407
292	0.2016139406
293	0.2015622714
294	0.2015068884
295	0.2014216459
296	0.2013702914
297	0.2013184639
298	0.2012248627
299	0.2011496875
300	0.201110586
301	0.2010486343
302	0.2009690874
303	0.2008930681
304	0.2008559636
305	0.2007592403
306	0.2007205162
307	0.2006546629
308	0.2006035802
309	0.2005271333
310	0.2004948088
311	0.2004252734
312	0.2003589688
313	0.2003091862
314	0.2001809594
315	0.2000670595
316	0.200021461
317	0.1999660926
318	0.1998356103
319	0.199808458
320	0.1997802316
321	0.1997394067
322	0.1996642112
323	0.199612984
324	0.1995623305
325	0.1995169437
326	0.1994848775
327	0.1994500345
328	0.1994106152
329	0.1993639916
330	0.1993135917
331	0.1992498423
332	0.1991945632
333	0.199095384
334	0.1990577153
335	0.1989861268
336	0.1989102672
337	0.1988579634
338	0.1988046129
339	0.1987620822
340	0.1986694704
341	0.1986091857
342	0.1985087563
343	0.1984408991
344	0.1983562998
345	0.1982409349
346	0.198196061
347	0.1981480735
348	0.1981117952
349	0.1980647679
350	0.197991432
351	0.1979541377
352	0.1978859114
353	0.1978304415
354	0.19774852
355	0.1976945471
356	0.1976638419
357	0.1976268107
358	0.1975943582
359	0.1975607691
360	0.1975154229
361	0.1974448487
362	0.1974140555
363	0.1973755304
364	0.1973021513
365	0.1972392989
366	0.1971676455
367	0.1971270531
368	0.1970559075
369	0.1970013875
370	0.1969605326
371	0.1969026012
372	0.1968466412
373	0.19676429
374	0.1966883346
375	0.1966662633
376	0.1966310601
377	0.1965690893
378	0.1965214059
379	0.1964745317
380	0.1963901947
381	0.1963406851
