season,round,race_name,circuit_id,date,driver_id,constructor_id,grid,position,position_text,points,laps,status
1991,1,United States Grand Prix,phoenix,1991-03-10,senna,mclaren,1,1,1,10,81,Finished
1991,1,United States Grand Prix,phoenix,1991-03-10,prost,ferrari,2,2,2,6,81,Finished
1991,1,United States Grand Prix,phoenix,1991-03-10,piquet,benetton,5,3,3,4,81,Finished
1991,1,United States Grand Prix,phoenix,1991-03-10,modena,tyrrell,11,4,4,3,81,Finished
1991,1,United States Grand Prix,phoenix,1991-03-10,satoru_nakajima,tyrrell,16,5,5,2,80,+1 Lap
1991,1,United States Grand Prix,phoenix,1991-03-10,suzuki,larrousse,21,6,6,1,79,+2 Laps
1991,1,United States Grand Prix,phoenix,1991-03-10,larini,lambo,17,7,7,0,78,+3 Laps
1991,1,United States Grand Prix,phoenix,1991-03-10,tarquini,ags,22,8,8,0,77,+4 Laps
1991,1,United States Grand Prix,phoenix,1991-03-10,martini,minardi,15,9,9,0,75,Engine
1991,1,United States Grand Prix,phoenix,1991-03-10,gachot,jordan,14,10,10,0,75,Engine
1991,1,United States Grand Prix,phoenix,1991-03-10,brundle,brabham,12,11,11,0,73,+8 Laps
1991,1,United States Grand Prix,phoenix,1991-03-10,alesi,ferrari,6,12,12,0,72,Gearbox
1991,1,United States Grand Prix,phoenix,1991-03-10,hakkinen,team_lotus,13,13,13,0,59,Engine
1991,1,United States Grand Prix,phoenix,1991-03-10,patrese,williams,3,14,R,0,49,Gearbox
1991,1,United States Grand Prix,phoenix,1991-03-10,moreno,benetton,8,15,R,0,49,Collision
1991,1,United States Grand Prix,phoenix,1991-03-10,alboreto,footwork,25,16,R,0,41,Engine
1991,1,United States Grand Prix,phoenix,1991-03-10,capelli,leyton,18,17,R,0,40,Gearbox
1991,1,United States Grand Prix,phoenix,1991-03-10,boutsen,ligier,20,18,R,0,40,Engine
1991,1,United States Grand Prix,phoenix,1991-03-10,berger,mclaren,7,19,R,0,36,Fuel pump
1991,1,United States Grand Prix,phoenix,1991-03-10,mansell,williams,4,20,R,0,35,Gearbox
1991,1,United States Grand Prix,phoenix,1991-03-10,gugelmin,leyton,23,21,R,0,34,Gearbox
1991,1,United States Grand Prix,phoenix,1991-03-10,blundell,brabham,24,22,R,0,32,Spun off
1991,1,United States Grand Prix,phoenix,1991-03-10,pirro,dallara,9,23,R,0,16,Gearbox
1991,1,United States Grand Prix,phoenix,1991-03-10,morbidelli,minardi,26,24,R,0,15,Gearbox
1991,1,United States Grand Prix,phoenix,1991-03-10,lehto,dallara,10,25,R,0,12,Gearbox
1991,1,United States Grand Prix,phoenix,1991-03-10,bernard,larrousse,19,26,R,0,4,Engine
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,senna,mclaren,1,1,1,10,71,Finished
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,patrese,williams,2,2,2,6,71,Finished
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,berger,mclaren,4,3,3,4,71,Finished
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,prost,ferrari,6,4,4,3,71,Finished
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,piquet,benetton,7,5,5,2,71,Finished
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,alesi,ferrari,5,6,6,1,71,Finished
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,moreno,benetton,14,7,7,0,70,+1 Lap
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,morbidelli,minardi,21,8,8,0,69,+2 Laps
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,hakkinen,team_lotus,22,9,9,0,68,+3 Laps
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,boutsen,ligier,18,10,10,0,68,+3 Laps
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,pirro,dallara,12,11,11,0,68,+3 Laps
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,brundle,brabham,26,12,12,0,67,+4 Laps
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,gachot,jordan,10,13,13,0,63,Fuel system
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,mansell,williams,3,14,R,0,59,Gearbox
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,comas,ligier,23,15,R,0,50,Engine
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,martini,minardi,20,16,R,0,47,Spun off
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,blundell,brabham,25,17,R,0,34,Engine
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,bernard,larrousse,11,18,R,0,33,Radiator
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,lehto,dallara,19,19,R,0,22,Electrical
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,cesaris,jordan,13,20,R,0,20,Engine
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,modena,tyrrell,9,21,R,0,19,Gearbox
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,capelli,leyton,15,22,R,0,16,Transmission
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,satoru_nakajima,tyrrell,16,23,R,0,12,Spun off
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,gugelmin,leyton,8,24,R,0,9,Physical
1991,2,Brazilian Grand Prix,interlagos,1991-03-24,tarquini,ags,24,25,R,0,0,Suspension
